npy_path,label
C:\AUTSL_project\landmarks\train\0\1.npy,41
C:\AUTSL_project\landmarks\train\0\2.npy,104
C:\AUTSL_project\landmarks\train\0\3.npy,205
C:\AUTSL_project\landmarks\train\0\4.npy,26
C:\AUTSL_project\landmarks\train\0\5.npy,191
C:\AUTSL_project\landmarks\train\0\6.npy,140
C:\AUTSL_project\landmarks\train\0\7.npy,139
C:\AUTSL_project\landmarks\train\0\8.npy,225
C:\AUTSL_project\landmarks\train\0\9.npy,102
C:\AUTSL_project\landmarks\train\0\10.npy,19
C:\AUTSL_project\landmarks\train\0\11.npy,160
C:\AUTSL_project\landmarks\train\0\12.npy,143
C:\AUTSL_project\landmarks\train\0\13.npy,215
C:\AUTSL_project\landmarks\train\0\14.npy,130
C:\AUTSL_project\landmarks\train\0\15.npy,166
C:\AUTSL_project\landmarks\train\0\16.npy,5
C:\AUTSL_project\landmarks\train\0\17.npy,28
C:\AUTSL_project\landmarks\train\0\18.npy,162
C:\AUTSL_project\landmarks\train\0\19.npy,202
C:\AUTSL_project\landmarks\train\0\20.npy,76
C:\AUTSL_project\landmarks\train\0\21.npy,66
C:\AUTSL_project\landmarks\train\0\22.npy,147
C:\AUTSL_project\landmarks\train\0\23.npy,183
C:\AUTSL_project\landmarks\train\0\24.npy,201
C:\AUTSL_project\landmarks\train\0\25.npy,1
C:\AUTSL_project\landmarks\train\0\26.npy,145
C:\AUTSL_project\landmarks\train\0\27.npy,127
C:\AUTSL_project\landmarks\train\0\28.npy,177
C:\AUTSL_project\landmarks\train\0\29.npy,5
C:\AUTSL_project\landmarks\train\0\30.npy,8
C:\AUTSL_project\landmarks\train\0\31.npy,205
C:\AUTSL_project\landmarks\train\0\32.npy,150
C:\AUTSL_project\landmarks\train\0\33.npy,53
C:\AUTSL_project\landmarks\train\0\34.npy,116
C:\AUTSL_project\landmarks\train\0\35.npy,71
C:\AUTSL_project\landmarks\train\0\36.npy,224
C:\AUTSL_project\landmarks\train\0\37.npy,118
C:\AUTSL_project\landmarks\train\0\38.npy,97
C:\AUTSL_project\landmarks\train\0\39.npy,63
C:\AUTSL_project\landmarks\train\0\40.npy,59
C:\AUTSL_project\landmarks\train\0\41.npy,47
C:\AUTSL_project\landmarks\train\0\42.npy,134
C:\AUTSL_project\landmarks\train\0\43.npy,89
C:\AUTSL_project\landmarks\train\0\44.npy,154
C:\AUTSL_project\landmarks\train\0\45.npy,106
C:\AUTSL_project\landmarks\train\0\46.npy,2
C:\AUTSL_project\landmarks\train\0\47.npy,73
C:\AUTSL_project\landmarks\train\0\48.npy,122
C:\AUTSL_project\landmarks\train\0\49.npy,173
C:\AUTSL_project\landmarks\train\0\50.npy,139
C:\AUTSL_project\landmarks\train\0\51.npy,189
C:\AUTSL_project\landmarks\train\0\52.npy,100
C:\AUTSL_project\landmarks\train\0\53.npy,212
C:\AUTSL_project\landmarks\train\0\54.npy,85
C:\AUTSL_project\landmarks\train\0\55.npy,200
C:\AUTSL_project\landmarks\train\0\56.npy,25
C:\AUTSL_project\landmarks\train\0\57.npy,197
C:\AUTSL_project\landmarks\train\0\58.npy,24
C:\AUTSL_project\landmarks\train\0\59.npy,16
C:\AUTSL_project\landmarks\train\0\60.npy,133
C:\AUTSL_project\landmarks\train\0\61.npy,6
C:\AUTSL_project\landmarks\train\0\62.npy,49
C:\AUTSL_project\landmarks\train\0\63.npy,170
C:\AUTSL_project\landmarks\train\0\64.npy,206
C:\AUTSL_project\landmarks\train\0\65.npy,115
C:\AUTSL_project\landmarks\train\0\66.npy,178
C:\AUTSL_project\landmarks\train\0\67.npy,160
C:\AUTSL_project\landmarks\train\0\68.npy,208
C:\AUTSL_project\landmarks\train\0\69.npy,33
C:\AUTSL_project\landmarks\train\0\70.npy,11
C:\AUTSL_project\landmarks\train\0\71.npy,94
C:\AUTSL_project\landmarks\train\0\72.npy,19
C:\AUTSL_project\landmarks\train\0\73.npy,11
C:\AUTSL_project\landmarks\train\0\74.npy,209
C:\AUTSL_project\landmarks\train\0\75.npy,146
C:\AUTSL_project\landmarks\train\0\76.npy,80
C:\AUTSL_project\landmarks\train\0\77.npy,56
C:\AUTSL_project\landmarks\train\0\78.npy,131
C:\AUTSL_project\landmarks\train\0\79.npy,75
C:\AUTSL_project\landmarks\train\0\80.npy,149
C:\AUTSL_project\landmarks\train\0\81.npy,144
C:\AUTSL_project\landmarks\train\0\82.npy,134
C:\AUTSL_project\landmarks\train\0\83.npy,3
C:\AUTSL_project\landmarks\train\0\84.npy,222
C:\AUTSL_project\landmarks\train\0\85.npy,23
C:\AUTSL_project\landmarks\train\0\86.npy,213
C:\AUTSL_project\landmarks\train\0\87.npy,185
C:\AUTSL_project\landmarks\train\0\88.npy,175
C:\AUTSL_project\landmarks\train\0\89.npy,116
C:\AUTSL_project\landmarks\train\0\90.npy,224
C:\AUTSL_project\landmarks\train\0\91.npy,52
C:\AUTSL_project\landmarks\train\0\92.npy,130
C:\AUTSL_project\landmarks\train\0\93.npy,62
C:\AUTSL_project\landmarks\train\0\94.npy,13
C:\AUTSL_project\landmarks\train\0\95.npy,221
C:\AUTSL_project\landmarks\train\0\96.npy,35
C:\AUTSL_project\landmarks\train\0\97.npy,114
C:\AUTSL_project\landmarks\train\0\98.npy,87
C:\AUTSL_project\landmarks\train\0\99.npy,163
C:\AUTSL_project\landmarks\train\0\100.npy,8
C:\AUTSL_project\landmarks\train\0\101.npy,207
C:\AUTSL_project\landmarks\train\0\102.npy,144
C:\AUTSL_project\landmarks\train\0\103.npy,225
C:\AUTSL_project\landmarks\train\0\104.npy,58
C:\AUTSL_project\landmarks\train\0\105.npy,222
C:\AUTSL_project\landmarks\train\0\106.npy,103
C:\AUTSL_project\landmarks\train\0\107.npy,94
C:\AUTSL_project\landmarks\train\0\108.npy,159
C:\AUTSL_project\landmarks\train\0\109.npy,1
C:\AUTSL_project\landmarks\train\0\110.npy,152
C:\AUTSL_project\landmarks\train\0\111.npy,35
C:\AUTSL_project\landmarks\train\0\112.npy,181
C:\AUTSL_project\landmarks\train\0\113.npy,18
C:\AUTSL_project\landmarks\train\0\114.npy,132
C:\AUTSL_project\landmarks\train\0\115.npy,204
C:\AUTSL_project\landmarks\train\0\116.npy,190
C:\AUTSL_project\landmarks\train\0\117.npy,213
C:\AUTSL_project\landmarks\train\0\118.npy,141
C:\AUTSL_project\landmarks\train\0\119.npy,186
C:\AUTSL_project\landmarks\train\0\120.npy,214
C:\AUTSL_project\landmarks\train\0\121.npy,97
C:\AUTSL_project\landmarks\train\0\122.npy,101
